Symbol,Security,GICS Sector,GICS Sub-Industry,Startdatum,Enddatum
KIM,Kimco Realty,Real Estate,Retail REITs,Aktuell,
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,Aktuell,
KKR,KKR,Financials,Asset Management & Custody Banks,Aktuell,
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,Aktuell,
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,Aktuell,
KR,Kroger,Consumer Staples,Food Retail,Aktuell,
LHX,L3Harris,Industrials,Aerospace & Defense,Aktuell,
LH,LabCorp,Health Care,Health Care Services,Aktuell,
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,Aktuell,
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,Aktuell,
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,Aktuell,
LDOS,Leidos,Industrials,Diversified Support Services,Aktuell,
LEN,Lennar,Consumer Discretionary,Homebuilding,Aktuell,
LLY,Lilly (Eli),Health Care,Pharmaceuticals,Aktuell,
LIN,Linde plc,Materials,Industrial Gases,Aktuell,
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,Aktuell,
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,Aktuell,
LMT,Lockheed Martin,Industrials,Aerospace & Defense,Aktuell,
L,Loews Corporation,Financials,Multi-line Insurance,Aktuell,
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,Aktuell,
"LULU,Lululemon Athletica,Consumer Discretionary,""Apparel, Accessories & Luxury Goods"",Aktuell,"
LYB,LyondellBasell,Materials,Specialty Chemicals,Aktuell,
MTB,M&T Bank,Financials,Regional Banks,Aktuell,
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,Aktuell,
MKTX,MarketAxess,Financials,Financial Exchanges & Data,Aktuell,
"MAR,Marriott International,Consumer Discretionary,""Hotels, Resorts & Cruise Lines"",Aktuell,"
MMC,Marsh McLennan,Financials,Insurance Brokers,Aktuell,
MLM,Martin Marietta Materials,Materials,Construction Materials,Aktuell,
MAS,Masco,Industrials,Building Products,Aktuell,
MA,Mastercard,Financials,Transaction & Payment Processing Services,Aktuell,
MTCH,Match Group,Communication Services,Interactive Media & Services,Aktuell,
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,Aktuell,
MCD,McDonald's,Consumer Discretionary,Restaurants,Aktuell,
MCK,McKesson Corporation,Health Care,Health Care Distributors,Aktuell,
MDT,Medtronic,Health Care,Health Care Equipment,Aktuell,
MRK,Merck & Co.,Health Care,Pharmaceuticals,Aktuell,
META,Meta Platforms,Communication Services,Interactive Media & Services,Aktuell,
MET,MetLife,Financials,Life & Health Insurance,Aktuell,
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,Aktuell,
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,Aktuell,
MCHP,Microchip Technology,Information Technology,Semiconductors,Aktuell,
MU,Micron Technology,Information Technology,Semiconductors,Aktuell,
MSFT,Microsoft,Information Technology,Systems Software,Aktuell,
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,Aktuell,
MRNA,Moderna,Health Care,Biotechnology,Aktuell,
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,Aktuell,
MOH,Molina Healthcare,Health Care,Managed Health Care,Aktuell,
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,Aktuell,
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,Aktuell,
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,Aktuell,
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Aktuell,
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,Aktuell,
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,Aktuell,
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,Aktuell,
MSI,Motorola Solutions,Information Technology,Communications Equipment,Aktuell,
MSCI,MSCI,Financials,Financial Exchanges & Data,Aktuell,
"NDAQ,""Nasdaq, Inc."",Financials,Financial Exchanges & Data,Aktuell,"
"NTAP,NetApp,Information Technology,""Technology Hardware, Storage & Peripherals"",Aktuell,"
NFLX,Netflix,Communication Services,Movies & Entertainment,Aktuell,
NEM,Newmont,Materials,Gold,Aktuell,
NWSA,News Corp (Class A),Communication Services,Publishing,Aktuell,
NWS,News Corp (Class B),Communication Services,Publishing,Aktuell,
NEE,NextEra Energy,Utilities,Multi-Utilities,Aktuell,
"NKE,""Nike, Inc."",Consumer Discretionary,""Apparel, Accessories & Luxury Goods"",Aktuell,"
NI,NiSource,Utilities,Multi-Utilities,Aktuell,
