Datum,Tatsächlich,Vorhergesagt
2023-07-07,4404.540006272582,4259.3038257275475
2023-07-10,4394.230128875497,4287.04193018013
2023-07-11,4415.549720410927,4271.474323324655
2023-07-12,4467.690064726485,4314.1127900836
2023-07-13,4491.499914635497,4350.088123406313
2023-07-14,4514.609927803249,4376.662937308429
2023-07-17,4508.859733903082,4366.011737283698
2023-07-18,4521.779851919564,4385.067066854826
2023-07-19,4563.869981907337,4409.210359960416
2023-07-20,4554.379923497327,4423.578144357743
2023-07-21,4550.160130004224,4384.098613145325
2023-07-24,4543.390266092611,4405.332247250917
2023-07-25,4555.1900722735445,4412.083487052732
2023-07-26,4558.960021883831,4424.491442049766
2023-07-27,4598.259758805507,4417.005266222841
2023-07-28,4565.749942529073,4410.163771119696
2023-07-31,4584.819956494466,4452.005699028814
2023-08-01,4578.8301562586275,4436.998964403028
2023-08-02,4550.930165313184,4428.571554719383
2023-08-03,4494.269892812008,4360.292702951847
2023-08-04,4513.959874740103,4369.118382060406
2023-08-07,4491.580141570012,4355.135973473516
2023-08-08,4498.0298140554805,4385.795556072699
2023-08-09,4501.569827540952,4339.503540389705
2023-08-10,4487.160138896579,4340.178664369887
2023-08-11,4450.689834040386,4353.9361510153685
2023-08-14,4458.129807748774,4319.607618785958
2023-08-15,4478.870261100674,4357.591848875163
2023-08-16,4433.789887022431,4293.51595727072
2023-08-17,4416.319755719887,4284.955671726784
2023-08-18,4344.879819470079,4248.938434157026
2023-08-21,4380.279954324797,4240.6797159294365
2023-08-22,4415.330170808884,4280.613030740205
2023-08-23,4396.439951134234,4263.36782137907
2023-08-24,4455.15997854789,4315.7030025355925
2023-08-25,4389.37998089692,4250.579146599048
2023-08-28,4426.029721887899,4283.543462785747
2023-08-29,4432.7501602773555,4307.624794910662
2023-08-30,4500.339919982362,4359.066376952833
2023-08-31,4517.009930875502,4367.997353912942
2023-09-01,4530.600158688758,4368.839736725349
2023-09-05,4510.059914517187,4381.328276812856
2023-09-06,4490.350234011421,4351.467023843288
2023-09-07,4434.549893964577,4321.262299310329
2023-09-08,4451.299773636274,4310.279446868808
2023-09-11,4480.980157847225,4330.900276130851
2023-09-12,4473.270134546765,4354.636704068544
2023-09-13,4462.649735934392,4318.903126017249
2023-09-14,4487.779748703324,4337.132547950023
2023-09-15,4497.980030377366,4374.643295863207
2023-09-18,4445.129820953734,4309.803099445126
2023-09-19,4445.410257068579,4337.238920269447
2023-09-20,4452.810117309709,4299.114651200798
2023-09-21,4374.359994500701,4283.117257196136
2023-09-22,4341.740224345267,4189.734179888619
2023-09-25,4310.620053184539,4221.024833285192
2023-09-26,4312.880017277348,4206.130917786068
2023-09-27,4282.629806937766,4144.657029213995
2023-09-28,4269.649876876356,4165.666457690095
2023-09-29,4328.180081632454,4189.634254376433
