Date,RSI_Overbought,RSI_Oversold,RSI_Overbought_Streak,RSI_Oversold_Streak,RSI_CrossOver_70,RSI_CrossUnder_30,RSI_Slope
1982-02-17,0,0,0,0,0,0,-1.20179
1982-02-18,0,0,0,0,0,0,0.72681
1982-02-19,0,0,0,0,0,0,-2.08601
1982-02-22,0,0,0,0,0,0,-4.97473
1982-02-23,0,0,0,0,0,0,-0.22506
1982-02-24,0,0,0,0,0,0,11.06777
1982-02-25,0,0,0,0,0,0,-0.93910
1982-02-26,0,0,0,0,0,0,-0.37677
1982-03-01,0,0,0,0,0,0,1.15071
1982-03-02,0,0,0,0,0,0,-2.58070
1982-03-03,0,0,0,0,0,0,-6.14403
1982-03-04,0,0,0,0,0,0,-2.99864
1982-03-05,0,1,0,1,0,1,-1.45124
1982-03-08,0,1,0,2,0,0,-4.62033
1982-03-09,0,0,0,0,0,0,8.70877
1982-03-10,0,0,0,0,0,0,3.08415
1982-03-11,0,0,0,0,0,0,-0.15177
